database_name,database_name_cleaned,database_university,database_discipline,database_race,database_gender,matched,speaker_id,speaker_name,speaker_university,speaker_race,speaker_gender,confidence,reasoning
Ihudiya Finda Williams,Ihudiya Finda Williams,Virginia Tech,Computer Science,Black,Woman,True,52d9e9117b5b,Ihudiya Finda Williams,Virginia Polytechnic Institute and State University,black,man,high,"The full name 'Ihudiya Finda Williams' matches exactly between the database faculty and the potential speaker. Additionally, the university affiliation 'Virginia Tech' is synonymous with 'Virginia Polytechnic Institute and State University,' confirming the match. There are no discrepancies in the name or university, leading to a high confidence in this match."
Assefaw Gebremedhin,Assefaw Gebremedhin,Washington State University,Computer Science,Black,Woman,True,9b3439bcb80a,Assefaw Gebremedhin,Washington State University,black,man,high,"The full name 'Assefaw Gebremedhin' matches exactly between the database faculty and the potential speaker. Additionally, the university affiliation 'Washington State University' is the same for both the database faculty and the potential speaker, further confirming the match."
Jose Delgadofrias,Jose Delgadofrias,Washington State University,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Alvitta Ottley,Alvitta Ottley,Washington University in St. Louis,Computer Science,Black,Woman,False,,,,,,,No match found
Kim Blenman,Kim Blenman,Yale University,Computer Science,Black,Woman,False,,,,,,,No match found
Marynel Vazquez,Marynel Vazquez,Yale University,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Malena Espanol,Malena Espanol,Arizona State University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Javier Gamez-Serrano,Javier Gamez-Serrano,Brown University,Mathematics,Hispanic,Man,False,,,,,,,No match found
Javier Pena,Javier Pena,Carnegie Mellon University,Mathematics,Hispanic,Man,False,,,,,,,No match found
Michael Young,Michael Young,Carnegie Mellon University,Mathematics,Black,Man,False,,,,,,,No match found
Abdulnasah Soale,Abdulnasah Soale,Case Western Reserve University,Mathematics,Black,Man,False,,,,,,,No match found
Keisha Cook,Keisha Cook,Clemson University,Mathematics,Black,Woman,True,4121e40835bf,Keisha Cook,Clemson University,black,woman,high,"The name 'Keisha Cook' from the database faculty matches exactly with the name 'Keisha Cook' in the potential speaker list. Additionally, both are affiliated with Clemson University, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Pelin Guven Geredeli,Pelin Guven Geredeli,Clemson University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Robert Dicks,Robert Dicks,Clemson University,Mathematics,Black,Man,True,29d3e37e35cf,Robert Dicks,Clemson University,white,man,high,"The name 'Robert Dicks' from the database faculty matches exactly with the name 'Robert Dicks' in the potential speaker list. Additionally, both are affiliated with Clemson University, which further supports the match. There are no variations or discrepancies in the name or university affiliation, leading to a high confidence in this match."
Cecilia Diniz Behn,Cecilia Diniz Behn,Colorado School of Mines,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Luis Tenorio,Luis Tenorio,Colorado School of Mines,Mathematics,Hispanic,Man,False,,,,,,,No match found
Hortensia Soto,Hortensia Soto,Colorado State University,Mathematics,Hispanic,Woman,True,c2ca771defa0,Hortensia Soto,Colorado State University,latino,man,high,"The name 'Hortensia Soto' matches exactly with the database entry, and the university affiliation 'Colorado State University' is also the same. This provides a strong indication that the speaker is the same individual as the faculty member in the database."
Iuliana Oprea,Iuliana Oprea,Colorado State University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Amadou Bah,Amadou Bah,Columbia University,Mathematics,Black,Man,True,2a9719efe300,Amadou Bah,Columbia University,black,man,high,"The name 'Amadou Bah' from the database faculty matches exactly with the name 'Amadou Bah' in the potential speaker list. Additionally, both are affiliated with Columbia University, which further supports the match. There are no variations or misspellings to consider, making this a high-confidence match."
Daniela De Silva,Daniela De Silva,Columbia University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Karola Meszaros,Karola Meszaros,Cornell University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Talea L. Mayo,Talea L Mayo,Emory University,Mathematics,Black,Woman,False,,,,,,,No match found
Louis Roder Tcheugoue Tebou,Louis Roder Tcheugoue Tebou,Florida International University,Mathematics,Black,Man,False,,,,,,,No match found
Philippe Rukimbira,Philippe Rukimbira,Florida International University,Mathematics,Black,Man,True,aa4ecfe73aa5,Philippe Rukimbira,Florida International University,black,man,high,"The full name 'Philippe Rukimbira' matches exactly with the name in the database, and the university affiliation 'Florida International University' is also the same. There are no variations or misspellings to consider, making this a high-confidence match."
Theodore Tachim Medjo,Theodore Tachim Medjo,Florida International University,Mathematics,Black,Man,False,,,,,,,No match found
Rosemberg Toala-Enriquez,Rosemberg Toala-Enriquez,George Mason University,Mathematics,Hispanic,Man,False,,,,,,,No match found
David Caraballo,David Caraballo,Georgetown University,Mathematics,Hispanic,Man,False,,,,,,,No match found
Mahlet Tadesse,Mahlet Tadesse,Georgetown University,Mathematics,Black,Woman,False,,,,,,,No match found
Mariana Montiel,Mariana Montiel,Georgia State University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Edinah Gnang,Edinah Gnang,Johns Hopkins University,Mathematics,Black,Man,False,,,,,,,No match found
Diego Maldonado,Diego Maldonado,Kansas State University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Michael M. Tom,Michael M Tom,Louisiana State University,Mathematics,Black,Man,False,,,,,,,No match found
Daniel Alvarez-Gavela,Daniel Alvarez-Gavela,Massachusetts Institute of Technology,Mathematics,Hispanic,Man,True,6f54504a2b46,Daniel Alvarez-Gavela,Brandeis University,latino,man,high,"The full name 'Daniel Alvarez-Gavela' matches exactly between the database faculty and the potential speaker. Although the university affiliations differ, it is common for faculty members to move between institutions. The exact name match provides high confidence in this identification."
Rodolfo Rosales,Rodolfo Rosales,Massachusetts Institute of Technology,Mathematics,Hispanic,Man,False,,,,,,,No match found
Velinda Calvert,Velinda Calvert,Mississippi State University,Mathematics,Black,Woman,False,,,,,,,No match found
Sara Shamekh,Sara Shamekh,New York University,Mathematics,Black,Woman,False,,,,,,,No match found
Laura Colmenarejo,Laura Colmenarejo,North Carolina State University,Mathematics,Hispanic,Woman,True,731580dbbf00,Laura Colmenarejo,North Carolina State University,latino,man,high,"The name 'Laura Colmenarejo' from the database matches exactly with the name 'Laura Colmenarejo' in the potential speakers list. Additionally, both are affiliated with North Carolina State University, which further confirms the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Yairon Cid Ruiz,Yairon Cid Ruiz,North Carolina State University,Mathematics,Hispanic,Man,False,,,,,,,No match found
Maria De Los Angeles Alfonseca-Cubero,Maria De Los Angeles Alfonseca-Cubero,North Dakota State University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Jonathan Esole,Jonathan Esole,Northeastern University,Mathematics,Black,Man,False,,,,,,,No match found
Jose Perea,Jose Perea,Northeastern University,Mathematics,Black,Man,False,,,,,,,No match found
Lace Padilla,Lace Padilla,Northeastern University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Santiago Canez,Santiago Canez,Northwestern University,Mathematics,Hispanic,Man,False,,,,,,,No match found
Angelica Cueto,Angelica Cueto,Ohio State University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Cesar Cuenca,Cesar Cuenca,Ohio State University,Mathematics,Hispanic,Man,True,2585e201e154,Cesar Cuenca,Ohio State University,white,man,high,"The name 'Cesar Cuenca' from the database faculty matches exactly with the name 'Cesar Cuenca' in the potential speaker list. Additionally, both are affiliated with Ohio State University, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Luis Casian,Luis Casian,Ohio State University,Mathematics,Hispanic,Man,False,,,,,,,No match found
John Johnson,John Johnson,Ohio State University,Mathematics,Black,Man,False,,,,,,,No match found
Norou Diawara,Norou Diawara,Old Dominion University,Mathematics,Black,Man,False,,,,,,,No match found
Aissa Wade,Aissa Wade,Pennsylvania State University,Mathematics,Black,Woman,False,,,,,,,No match found
Carina Curto,Carina Curto,Pennsylvania State University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Chelsea Walton,Chelsea Walton,Rice University,Mathematics,Black,Woman,True,21bfa4d58050,Chelsea Walton,Rice University,black,woman,high,"The name 'Chelsea Walton' from the database matches exactly with the name 'Chelsea Walton' in the potential speaker list. Additionally, both are affiliated with Rice University, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in the match."
Juan Pablo Mejia Ramos,Juan Pablo Mejia Ramos,Rutgers University-New Brunswick,Mathematics,Hispanic,Man,False,,,,,,,No match found
Gerardo A. Mendoza,Gerardo A Mendoza,Temple University,Mathematics,Hispanic,Man,False,,,,,,,No match found
Raegan Higgins,Raegan Higgins,Texas Tech University,Mathematics,Black,Woman,False,,,,,,,No match found
Eric Quinto,Eric Quinto,Tufts University,Mathematics,Hispanic,Man,False,,,,,,,No match found
Ricardo Cortez,Ricardo Cortez,Tulane University,Mathematics,Hispanic,Woman,False,,,,,,,No match found
David Cruz-Uribe,David Cruz-Uribe,University of Alabama,Mathematics,Hispanic,Man,True,87770b2575a6,David Cruz-Uribe,University of Alabama,latino,man,high,"The full name 'David Cruz-Uribe' matches exactly between the database faculty and the potential speaker. Additionally, both are affiliated with the University of Alabama, which further supports the match. There are no variations or misspellings to consider in this case, leading to a high confidence in the match."
Roberto Toro-Rodriguez,Roberto Toro-Rodriguez,University of Alabama,Mathematics,Hispanic,Man,False,,,,,,,No match found
Roger Sidje,Roger Sidje,University of Alabama,Mathematics,Black,Man,False,,,,,,,No match found
Marius N. Nkashama,Marius N Nkashama,University of Alabama at Birmingham,Mathematics,Black,Man,False,,,,,,,No match found
Toka Diagana,Toka Diagana,University of Alabama in Huntsville,Mathematics,Black,Man,False,,,,,,,No match found
Pedro Aceves Sanchez,Pedro Aceves Sanchez,University of Arizona,Mathematics,Hispanic,Man,False,,,,,,,No match found
Tonatiuh Sanchez Vizuet,Tonatiuh Sanchez Vizuet,University of Arizona,Mathematics,Hispanic,Man,True,2900e195f9da,Tonatiuh Sanchez Vizuet,University of Arizona,latino,man,high,"The full name 'Tonatiuh Sanchez Vizuet' matches exactly between the database faculty and the potential speaker. Additionally, the university affiliation 'University of Arizona' is the same for both entries, further confirming the match."
Mariel Vazquez,Mariel Vazquez,"University of California, Davis",Mathematics,Hispanic,Woman,False,,,,,,,No match found
Joaquin Moraga,Joaquin Moraga,"University of California, Los Angeles",Mathematics,Hispanic,Man,True,850369ec240d,Joaquin Moraga,"University of California, Los Angeles",latino,man,high,"The name 'Joaquin Moraga' from the database faculty matches exactly with the name 'Joaquin Moraga' in the potential speaker list. Additionally, both are affiliated with the University of California, Los Angeles, which further supports the match. There are no variations or discrepancies in the name or university affiliation, leading to a high confidence in this match."
Wilfrid Gangbo,Wilfrid Gangbo,"University of California, Los Angeles",Mathematics,Black,Man,True,2bde6259a2a9,Wilfrid Gangbo,"University of California, Los Angeles",black,man,high,"The name 'Wilfrid Gangbo' from the database faculty matches exactly with the name 'Wilfrid Gangbo' in the potential speaker list. Additionally, both are affiliated with the University of California, Los Angeles, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Patricio Gallardo Candela,Patricio Gallardo Candela,"University of California, Riverside",Mathematics,Hispanic,Man,True,1dd62618152d,Patricio Gallardo,"University of California, Riverside",black,man,high,"The name 'Patricio Gallardo' is a close match to 'Patricio Gallardo Candela', with the only difference being the absence of the middle name 'Candela'. The university affiliation is the same, University of California, Riverside, which strongly suggests that this is the same individual. Middle names are often omitted in professional settings, making this a likely match."
Carlos Garcia-Cervera,Carlos Garcia-Cervera,"University of California, Santa Barbara",Mathematics,Hispanic,Man,False,,,,,,,No match found
Gustavo Ponce,Gustavo Ponce,"University of California, Santa Barbara",Mathematics,Hispanic,Man,False,,,,,,,No match found
Hector D. Ceniceros,Hector D Ceniceros,"University of California, Santa Barbara",Mathematics,Hispanic,Man,False,,,,,,,No match found
Abey Lopez-Garcia,Abey Lopez-Garcia,University of Central Florida,Mathematics,Hispanic,Man,False,,,,,,,No match found
Katiuscia Teixeira,Katiuscia Teixeira,University of Central Florida,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Richard Green,Richard Green,University of Colorado Boulder,Mathematics,Black,Man,True,b9e14717a616,Richard Green,University of Colorado Boulder,white,man,high,"The name 'Richard Green' matches exactly with the database entry, and the university affiliation 'University of Colorado Boulder' is also an exact match. This provides a high confidence level that the speaker with ID 'b9e14717a616' is the same individual as the database faculty member."
Alvaro Lozano-Robledo,Alvaro Lozano-Robledo,University of Connecticut,Mathematics,Hispanic,Man,True,4c08080304a9,Álvaro Lozano-Robledo,University of Connecticut,latino,man,high,"The name 'Álvaro Lozano-Robledo' from the potential speakers matches 'Alvaro Lozano-Robledo' from the database faculty, accounting for the accent on the 'Á'. Both are affiliated with the University of Connecticut, which further supports the match. The combination of name similarity and identical university affiliation provides high confidence in this match."
Calistus Ngonghala,Calistus Ngonghala,University of Florida,Mathematics,Black,Man,False,,,,,,,No match found
Danny Martin,Danny Martin,University of Illinois Chicago,Mathematics,Black,Man,False,,,,,,,No match found
Gerard Awanou,Gerard Awanou,University of Illinois Chicago,Mathematics,Black,Man,False,,,,,,,No match found
Ronnie Nagloo,Ronnie Nagloo,University of Illinois Chicago,Mathematics,Black,Man,False,,,,,,,No match found
Tolulope Fadina,Tolulope Fadina,University of Illinois Urbana-Champaign,Mathematics,Black,Woman,False,,,,,,,No match found
Raul Curto,Raul Curto,University of Iowa,Mathematics,Hispanic,Man,False,,,,,,,No match found
Rodica Curtu,Rodica Curtu,University of Iowa,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Daniel Hernandez,Daniel Hernandez,University of Kansas,Mathematics,Hispanic,Man,False,,,,,,,No match found
Leonel Robert Gonzalez,Leonel Robert Gonzalez,University of Louisiana at Lafayette,Mathematics,Hispanic,Man,False,,,,,,,No match found
Patricia Beaulieu,Patricia Beaulieu,University of Louisiana at Lafayette,Mathematics,Black,Woman,False,,,,,,,No match found
Matthew Hernandez,Matthew Hernandez,University of Maine,Mathematics,Hispanic,Man,True,3d0c9bd6d5bd,Matthew Hernandez,University of Maine,latino,man,high,"The full name 'Matthew Hernandez' matches exactly between the database faculty and the potential speaker. Additionally, the university affiliation 'University of Maine' is the same for both, which strongly supports the match. There are no variations or misspellings to consider in this case, leading to a high confidence in the match."
Carlos Soto,Carlos Soto,University of Massachusetts Amherst,Mathematics,Hispanic,Man,True,c573530f4a56,Carlos Soto,University of Massachusetts Amherst,latino,man,high,"The name 'Carlos Soto' from the database faculty matches exactly with the name 'Carlos Soto' in the potential speaker list. Additionally, both are affiliated with the University of Massachusetts Amherst, which further confirms the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Alejandro Morales,Alejandro Morales,University of Massachusetts Amherst,Mathematics,Hispanic,Man,False,,,,,,,No match found
E. Olusegun George,E Olusegun George,University of Memphis,Mathematics,Black,Man,False,,,,,,,No match found
Bruno De Oliveira,Bruno De Oliveira,University of Miami,Mathematics,Hispanic,Man,False,,,,,,,No match found
Orlando Alvarez,Orlando Alvarez,University of Miami,Mathematics,Hispanic,Man,False,,,,,,,No match found
Trachette Jackson,Trachette Jackson,University of Michigan,Mathematics,Black,Woman,False,,,,,,,No match found
Erwin Mina Diaz,Erwin Mina Diaz,University of Mississippi,Mathematics,Hispanic,Man,False,,,,,,,No match found
Martial Longla,Martial Longla,University of Mississippi,Mathematics,Black,Man,True,707e6ec535c5,Martial Longla,University of Mississippi,black,man,high,"The full name 'Martial Longla' matches exactly between the database faculty and the potential speaker. Additionally, the university affiliation 'University of Mississippi' is the same for both, indicating a strong likelihood that they are the same individual."
Chartese Jones,Chartese Jones,University of Missouri,Mathematics,Black,Man,False,,,,,,,No match found
Xavier Perez Gimenez,Xavier Perez Gimenez,University of Nebraska-Lincoln,Mathematics,Hispanic,Man,False,,,,,,,No match found
Paul Hurtado,Paul Hurtado,"University of Nevada, Reno",Mathematics,Hispanic,Man,False,,,,,,,No match found
Sheree Sharpe,Sheree Sharpe,University of New Hampshire,Mathematics,Black,Woman,False,,,,,,,No match found
Maria Cristina Pereyra,Maria Cristina Pereyra,University of New Mexico,Mathematics,Hispanic,Woman,True,4cb3443b4527,Maria Cristina Pereyra,University of New Mexico,latino,man,high,"The full name 'Maria Cristina Pereyra' matches exactly with the name in the database, and the university affiliation 'University of New Mexico' is also the same. There are no discrepancies in the name or university, leading to a high confidence match."
Idris Assani,Idris Assani,University of North Carolina at Chapel Hill,Mathematics,Black,Man,False,,,,,,,No match found
Pedro J. Saenz,Pedro J Saenz,University of North Carolina at Chapel Hill,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Juanita Pinzon Caicedo,Juanita Pinzon Caicedo,University of Notre Dame,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Javier Alejandro Chavez-Dominguez,Javier Alejandro Chavez-Dominguez,University of Oklahoma,Mathematics,Hispanic,Man,True,9edf67892244,Alejandro Chávez-Domínguez,University of Oklahoma,latino,man,high,"The name 'Alejandro Chávez-Domínguez' is a close match to 'Javier Alejandro Chavez-Dominguez', with the middle name 'Javier' possibly omitted or used interchangeably. Both individuals are affiliated with the University of Oklahoma and are in the same discipline of Mathematics, which strongly suggests they are the same person. The minor variation in the name is likely due to common practices of using middle names or initials variably in different contexts."
Paula Vasquez,Paula Vasquez,University of South Carolina,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Cris Negron,Cris Negron,University of Southern California,Mathematics,Black,Man,True,5b2ee716ba83,Cris Negron,University of Southern California,black,man,high,"The name 'Cris Negron' from the database matches exactly with the name 'Cris Negron' in the potential speaker list. Additionally, both are affiliated with the University of Southern California, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Erika Tatiana Camacho,Erika Tatiana Camacho,University of Texas at San Antonio,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Fernando Guevara Vasquez,Fernando Guevara Vasquez,University of Utah,Mathematics,Hispanic,Man,True,3a4523fad723,Fernando Guevara Vasquez,University of Utah,latino,man,high,"The full name 'Fernando Guevara Vasquez' matches exactly with the name in the database, and the university affiliation 'University of Utah' is also the same. There are no discrepancies in the name or university, leading to a high confidence match."
Gloria Mari-Beffa,Gloria Mari-Beffa,University of Wisconsin-Madison,Mathematics,Hispanic,Woman,False,,,,,,,No match found
Sean T. Paul,Sean T Paul,University of Wisconsin-Madison,Mathematics,Black,Woman,False,,,,,,,No match found
Hiram H. Lopez Valdez,Hiram H Lopez Valdez,Virginia Tech,Mathematics,Hispanic,Man,False,,,,,,,No match found
Jose Ramon Madrid Padilla,Jose Ramon Madrid Padilla,Virginia Tech,Mathematics,Hispanic,Man,True,40c417371991,José Ramón Madrid Padilla,Virginia Polytechnic Institute and State University,latino,man,high,"The name 'Jose Ramon Madrid Padilla' from the database matches exactly with 'José Ramón Madrid Padilla' from the potential speakers, accounting for accent marks. Additionally, 'Virginia Tech' is commonly used interchangeably with 'Virginia Polytechnic Institute and State University', indicating the same institution. Therefore, the match is highly likely."
Tamunonye Cheetham-West,Tamunonye Cheetham-West,Yale University,Mathematics,Black,Man,True,5725a5f53595,Tamunonye Cheetham-West,Yale University,black,man,high,"The full name 'Tamunonye Cheetham-West' matches exactly between the database faculty and the potential speaker. Additionally, the university affiliation 'Yale University' is the same for both entries, which further supports the match. There are no variations or misspellings to account for, making this a high-confidence match."
Pedro Peralta,Pedro Peralta,Arizona State University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Mir Jalil Razavi,Mir Jalil Razavi,Binghamton University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Valeri Frumkin,Valeri Frumkin,Boston University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Gabriel Taubin,Gabriel Taubin,Brown University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Kimani Toussaint,Kimani Toussaint,Brown University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Monica Martinez Wilhelmus,Monica Martinez Wilhelmus,Brown University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
John O. Dabiri,John O Dabiri,California Institute of Technology,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Jose E. Andrade,Jose E Andrade,California Institute of Technology,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Kaushik Bhattacharya,Kaushik Bhattacharya,California Institute of Technology,Mechanical Engineering,Native American,Man,False,,,,,,,No match found
Sandra M. Troian,Sandra M Troian,California Institute of Technology,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Conrad Tucker,Conrad Tucker,Carnegie Mellon University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Noelia Grande Gutierrez,Noelia Grande Gutierrez,Carnegie Mellon University,Mechanical Engineering,Hispanic,Woman,True,44f179893881,Noelia Grande Gutiérrez,Carnegie Mellon University,latino,woman,high,"The cleaned names 'Noelia Grande Gutierrez' from the database and 'Noelia Grande Gutiérrez' from the potential speaker match are identical, accounting for the common transcription variation in the accent on the 'e'. Additionally, both are affiliated with Carnegie Mellon University, which further supports the match. The combination of name and university affiliation provides a high confidence level in this match."
Brian Taylor,Brian Taylor,Case Western Reserve University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Enrique Martinez Saez,Enrique Martinez Saez,Clemson University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Rodrigo Martinez-Duarte,Rodrigo Martinez-Duarte,Clemson University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Veronica Eliasson,Veronica Eliasson,Colorado School of Mines,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Karen E. Kasza,Karen E Kasza,Columbia University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Cara Nunez,Cara Nunez,Cornell University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Darryl Dickerson,Darryl Dickerson,Florida International University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Norman D. H. Munroe,Norman D H Munroe,Florida International University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Peter Kalu,Peter Kalu,Florida State University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Simone Peterson Hruda,Simone Peterson Hruda,Florida State University,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Carl Moore,Carl Moore,Florida State University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Juan Ordonez,Juan Ordonez,Florida State University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Juan Cebral,Juan Cebral,George Mason University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Quentin Sanders,Quentin Sanders,George Mason University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Saanyol Ityokumbul Igbax,Saanyol Ityokumbul Igbax,George Mason University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Lorena A. Barba,Lorena A Barba,George Washington University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Baratunde A. Cola,Baratunde A Cola,Georgia Institute of Technology,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Frank L. Hammond III,Frank L Hammond III,Georgia Institute of Technology,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Samuel Graham,Samuel Graham,Georgia Institute of Technology,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Tequila A. L. Harris,Tequila A L Harris,Georgia Institute of Technology,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Carmen L. Gomes,Carmen L Gomes,Iowa State University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Mark Mbawright,Mark Mbawright,Iowa State University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Sarah A. Bentil,Sarah A Bentil,Iowa State University,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Jeremy Brown,Jeremy Brown,Johns Hopkins University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Ope Owoyele,Ope Owoyele,Louisiana State University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Loza Tadesse,Loza Tadesse,Massachusetts Institute of Technology,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Roberta Amendola,Roberta Amendola,Montana State University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Kwabena Narh,Kwabena Narh,New Jersey Institute of Technology,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Sanchoy Das,Sanchoy Das,New Jersey Institute of Technology,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Gracious Ngaile,Gracious Ngaile,North Carolina State University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Darius Carter,Darius Carter,North Carolina State University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Majura Selekwa,Majura Selekwa,North Dakota State University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Carlos Hidrovo,Carlos Hidrovo,Northeastern University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Marilyn L. Minus,Marilyn L Minus,Northeastern University,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Oluwaseyi Balogun,Oluwaseyi Balogun,Northwestern University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Annie Abell,Annie Abell,Ohio State University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Daniel Cortes,Daniel Cortes,Pennsylvania State University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Aimy Wissa,Aimy Wissa,Princeton University,Mechanical Engineering,Black,Woman,True,72d29b33de40,Aimy Wissa,Princeton University,white,woman,high,"The name 'Aimy Wissa' from the database faculty matches exactly with the name 'Aimy Wissa' in the potential speaker list. Additionally, both are affiliated with Princeton University, which further confirms the match. There are no variations or misspellings involved, making this a high-confidence match."
Christine Allen-Blanchette,Christine Allen-Blanchette,Princeton University,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Eduardo Barocio Vaca,Eduardo Barocio Vaca,Purdue University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Hector Gomez,Hector Gomez,Purdue University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
James Gibert,James Gibert,Purdue University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Marcial Gonzalez,Marcial Gonzalez,Purdue University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Monique Mcclain,Monique Mcclain,Purdue University,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
C. Fred Higgs III,C Fred Higgs III,Rice University,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Kimberly Cook-Chennault,Kimberly Cook-Chennault,Rutgers University-New Brunswick,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Michaelle Ntala Mayalu,Michaelle Ntala Mayalu,Stanford University,Mechanical Engineering,Black,Woman,False,,,,,,,No match found
Monroe Kennedy III,Monroe Kennedy III,Stanford University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Foluso Ladeinde,Foluso Ladeinde,Stony Brook University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Juldeh Sesay,Juldeh Sesay,Stony Brook University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Chandler Benjamin,Chandler Benjamin,Texas A&M University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Dion S. Antao,Dion S Antao,Texas A&M University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Guillermo Aguilar,Guillermo Aguilar,Texas A&M University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Michael Moreno,Michael Moreno,Texas A&M University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Adelia Aquino,Adelia Aquino,Texas Tech University,Mechanical Engineering,Hispanic,Woman,False,,,,,,,No match found
Stephen Ekwaroosire,Stephen Ekwaroosire,Texas Tech University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
Victor Maldonado,Victor Maldonado,Texas Tech University,Mechanical Engineering,Hispanic,Man,False,,,,,,,No match found
Trevion Henderson,Trevion Henderson,Tufts University,Mechanical Engineering,Black,Man,False,,,,,,,No match found
