database_name,database_university,database_race,database_gender,database_title,database_discipline,database_research,matched,num_matches,speaker_name,speaker_university,speaker_race_identified,seminar_university,seminar_discipline,seminar_condition,seminar_date,semester
Carlos Silva,Georgia Institute of Technology,Hispanic,Woman,Professor,Physics,how excited states are created and how they evolve in complex materials of interest in optoelectronics,Match Detail,,Jose Angel Silva-Guillen,ORG: IMDEA Nanoscience,latino,Columbia University,Physics,treatment,3/26/2025,Fall
Carlos Silva,Georgia Institute of Technology,Hispanic,Woman,Professor,Physics,how excited states are created and how they evolve in complex materials of interest in optoelectronics,Match Detail,,Max Silva-Feaver,Yale University,latino,Harvard University,Physics,treatment,4/23/2025,Fall
Carlos Silva,Georgia Institute of Technology,Hispanic,Woman,Professor,Physics,how excited states are created and how they evolve in complex materials of interest in optoelectronics,Match Detail,,Eduardo Silva,University of Münster,latino,Mississippi State University,Physics,treatment,5/5/2025,Fall
Carlos Silva,Georgia Institute of Technology,Hispanic,Woman,Professor,Physics,how excited states are created and how they evolve in complex materials of interest in optoelectronics,Match Detail,,Eduardo Silva,University of Münster,latino,Mississippi State University,Physics,treatment,5/5/2025,Fall
Carlos Silva,Georgia Institute of Technology,Hispanic,Woman,Professor,Physics,how excited states are created and how they evolve in complex materials of interest in optoelectronics,Match Detail,,Caroline Silva Rocha Costa,INVALID,latino,University of Washington,Physics,treatment,11/6/2024,Fall
Eugene Mananga,"Graduate Center, CUNY",Black,Man,Associate Professor,Physics,"condensed matter physics, materials science, computational chemistry, and nuclear medicine",No,0,,,,,,,,
Jillian M. Bellovary,"Graduate Center, CUNY",Hispanic,Woman,Assistant Professor,Physics,"astrophysics, black holes, gravitational waves, simulations, active galactic nuclei, dwarf galaxies",Yes,1,,,,,,,,
Jillian M. Bellovary,"Graduate Center, CUNY",Hispanic,Woman,Assistant Professor,Physics,"astrophysics, black holes, gravitational waves, simulations, active galactic nuclei, dwarf galaxies",Match Detail,,Jillian Bellovary,City University of New York,white,University of Memphis,Physics,treatment,4/25/2025,Fall
Justin F. Vazquez-Poritz,"Graduate Center, CUNY",Hispanic,Man,Associate Professor,Physics,"m-theory, string theory, quantum field theory, general relativity, gravitational physics",No,0,,,,,,,,
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Yes,8,,,,,,,,
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,Princeton University,latino,New York University,Physics,treatment,10/23/2024 0:00,Fall
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,Princeton University,latino,New York University,Physics,treatment,10/23/2024 0:00,Fall
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,University of Washington,latino,"University of California, Irvine",Physics,treatment,4/16/2025,Spring
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,University of Washington,latino,"University of California, Irvine",Physics,treatment,4/16/2025,Spring
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,Princeton University,latino,"University of California, Riverside",Physics,control,4/23/2025,Spring
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,Princeton University,latino,"University of California, Riverside",Physics,control,4/23/2025,Spring
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,Princeton University,latino,"University of California, Riverside",Physics,control,4/23/2025,Fall
Kelle L. Cruz,"Graduate Center, CUNY",Hispanic,Woman,Associate Professor,Physics,"low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood",Match Detail,,Akaxia Cruz,Princeton University,latino,"University of California, Riverside",Physics,control,4/23/2025,Fall
Miguel Fiolhais,"Graduate Center, CUNY",Hispanic,Man,Associate Professor,Physics,"high-energy physics, particle accelerators and detractors, cosmology, superconductivity education",No,0,,,,,,,,
Sophia N. Suarez,"Graduate Center, CUNY",Black,Woman,Professor,Physics,high-pressure nuclear magnetic resonance (nmr) and ac impedance spectroscopies (is) to study the ion and mass transport properties of electrolyte materials used in electrochemical devices such as fuel cells and supercapacitors,No,0,,,,,,,,
Carlos Arguelles-Delgado,Harvard University,Hispanic,Woman,Assistant Professor,Physics,"neutrino physics, particularly using data from the icecube neutrino observatory to explore the properties of neutrinos and search for new physics beyond the standard model​",No,0,,,,,,,,
Cora Dvorkin,Harvard University,Hispanic,Woman,Professor,Physics,"cosmology, dark matter, and the early universe",Yes,2,,,,,,,,
Cora Dvorkin,Harvard University,Hispanic,Woman,Professor,Physics,"cosmology, dark matter, and the early universe",Match Detail,,Cora Dvorkin,Harvard University,white,New York University,Physics,treatment,03/13/2025,Fall
Cora Dvorkin,Harvard University,Hispanic,Woman,Professor,Physics,"cosmology, dark matter, and the early universe",Match Detail,,Cora Dvorkin,Harvard University,white,"University of California, Santa Cruz",Physics,treatment,10/24/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Yes,26,,,,,,,,
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph C. Shields,University of Arizona,white,Arizona State University,Physics,treatment,11/15/2024,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Sanfilippo,University of Illinois Urbana-Champaign,white,Arizona State University,Physics,treatment,1/29/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Jose Angel Silva-Guillen,ORG: IMDEA Nanoscience,latino,Columbia University,Physics,treatment,3/26/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Atchison,Abilene Christian University,white,Rice University,Physics,treatment,11/1/2024,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Marcotrigiano,ORG: National Institutes of Health,white,Rutgers University-New Brunswick,Physics,control,2/12/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Redeker,Stony Brook University,white,Stony Brook University,Physics,treatment,11/11/2024,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Jose Spinoza,Universidad Autónoma de Madrid,latino,Tufts University,Physics,treatment,11/12/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Jose Rueda,"University of California, Irvine",latino,"University of California, Irvine",Physics,treatment,2024-11-26 00:00:00,Spring
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Kathy Joseph,"University of California, Irvine",black,"University of California, Irvine",Physics,treatment,2024-10-24 00:00:00,Spring
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Heremans,ORG: Argonne National Laboratory,white,University of Illinois Urbana-Champaign,Physics,treatment,10/8/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Hand,University of Kansas,white,University of Kansas,Physics,control,10/25/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Hand,University of Kansas,white,University of Kansas,Physics,control,4/18/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Jose Antonio Marin Guzman,University of Maryland,latino,"University of Maryland, College Park",Physics,control,2/7/2025,Spring
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Derkin,Ohio University,white,University of Notre Dame,Physics,control,9/9/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Estrera,ORG: Aviation Specialties Unlimited,latino,University of Texas at Dallas,Physics,control,3/12/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Jose Morales,University of Texas at San Antonio,latino,University of Texas at San Antonio,Physics,treatment,11/8/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Sklenar,Wayne State University,white,University of Utah,Physics,control,4/1/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Maria Jose,University of Virginia,latino,University of Virginia,Physics,control,4/9/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Watkins,University of Virginia,white,University of Virginia,Physics,control,4/1/2025,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Pradler,INVALID,white,University of Wisconsin-Madison,Physics,control,2024-10-29 00:00:00,Spring
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Felix Joseph Heremans,ORG: Argonne National Laboratory,white,Virginia Tech,Physics,control,10/18/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Marcus,INVALID,white,Washington University in St. Louis,Physics,control,9/20/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Marcus,INVALID,white,Washington University in St. Louis,Physics,control,9/20/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Marcus,University of Chicago,white,Washington University in St. Louis,Physics,control,9/20/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Marcus,University of Chicago,white,Washington University in St. Louis,Physics,control,9/20/2024 0:00,Fall
Jorge V. Jose,Indiana University Bloomington,Hispanic,Man,James H. Rudy Distinguished Professor,Physics,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)",Match Detail,,Joseph Sklenar,Wayne State University,white,Wayne State University,Physics,treatment,10/3/2024 0:00,Fall
Raquel Ribeiro,Iowa State University,Hispanic,Woman,Associate Professor,Physics,condensed matter,No,0,,,,,,,,
Danielle Speller,Johns Hopkins University,Black,Woman,Assistant Professor,Physics,experimental particle physics,No,0,,,,,,,,
Francesca Serra,Johns Hopkins University,Hispanic,Woman,Assistant Professor,Physics,soft matter physics and liquid crystals,Yes,2,,,,,,,,
Francesca Serra,Johns Hopkins University,Hispanic,Woman,Assistant Professor,Physics,soft matter physics and liquid crystals,Match Detail,,Francesca Serra,Johns Hopkins University,white,Columbia University,Physics,treatment,2/24/2025,Fall
Francesca Serra,Johns Hopkins University,Hispanic,Woman,Assistant Professor,Physics,soft matter physics and liquid crystals,Match Detail,,Mattia Serra,"University of California, San Diego",white,University of Michigan,Physics,treatment,2024-09-30 00:00:00,Spring
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Yes,7,,,,,,,,
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Match Detail,,Ibrahima Bah,Johns Hopkins University,black,New York University,Physics,treatment,11/13/2024 0:00,Fall
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Match Detail,,Ibrahima Bah,Johns Hopkins University,black,New York University,Physics,treatment,11/13/2024 0:00,Fall
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Match Detail,,Baha Balantekin,University of Wisconsin-Madison,white,University at Buffalo,Physics,treatment,2024-10-17 00:00:00,Spring
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Match Detail,,Gaurav Bahl,UIUC,asian,University of Illinois Urbana-Champaign,Physics,treatment,9/11/2024,Fall
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Match Detail,,Alaji Bah,State University of New York Upstate Medical University,black,University of Michigan,Physics,treatment,1/31/2025,Spring
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Match Detail,,Baha Balantekin,University of Wisconsin-Madison,white,University of Wisconsin-Madison,Physics,control,2/7/2025,Spring
Ibrahima Bah,Johns Hopkins University,Black,Man,Associate Professor,Physics,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography",Match Detail,,Alexandra Asbah,ORG: CERN,white,Yale University,Physics,treatment,2/27/2025,Spring
Gabriela Gonzalez,Louisiana State University,Hispanic,Woman,Professor,Physics,experimental general relativity,No,0,,,,,,,,
Pablo Jarillo-Herrero,Massachusetts Institute of Technology,Hispanic,Man,Professor,Physics,condensed matter experiment,Yes,1,,,,,,,,
Pablo Jarillo-Herrero,Massachusetts Institute of Technology,Hispanic,Man,Professor,Physics,condensed matter experiment,Match Detail,,Pablo Jarillo-Herrero,Massachusetts Institute of Technology,latino,University of Minnesota,Physics,treatment,9/19/2024 0:00,Fall
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Yes,11,,,,,,,,
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Sergio Ruiz,University of Valencia,latino,Columbia University,Physics,treatment,9/4/2024 0:00,Fall
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,latino,Florida State University,Physics,control,11/22/2024 0:00,Fall
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Sergio Palomares Ruiz,INVALID,latino,Harvard University,Physics,treatment,10/7/2024,Fall
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Sofia Rojas Ruiz,"University of California, Los Angeles",latino,"University of California, Los Angeles",Physics,treatment,2024-10-09,Spring
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Sofia Rojas-Ruiz,"University of California, Los Angeles",latino,"University of California, Riverside",Physics,control,2025-05-07,Spring
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Sofia Rojas-Ruiz,"University of California, Los Angeles",latino,"University of California, Riverside",Physics,control,4/23/2025,Fall
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Ronald Garcia Ruiz,Massachusetts Institute of Technology,latino,University of Connecticut,Physics,treatment,2025-03-07,Spring
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Ronald Garcia Ruiz,Massachusetts Institute of Technology,latino,University of Florida,Physics,control,4/24/2025,Fall
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Enrico Ramirez-Ruiz,INVALID,latino,University of Illinois Urbana-Champaign,Physics,treatment,3/25/2025,Spring
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Enrico Ramirez-Ruiz,INVALID,latino,University of Illinois Urbana-Champaign,Physics,treatment,3/26/2025,Spring
Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,Hispanic,Man,Assistant Professor,Physics,nuclear physics experiment,Match Detail,,Ronald Fernando Garcia Ruiz,Massachusetts Institute of Technology,latino,University of Tennessee,Physics,control,3/10/2025,Fall
Filomena Nunes,Michigan State University,Hispanic,Woman,Professor,Physics,nuclear reactions and structure models,No,0,,,,,,,,
John Federici,New Jersey Institute of Technology,Hispanic,Man,Professor,Physics,"terahertz spectroscopy, imaging, and wireless communication. remote sensing ink-jet printed devices",No,0,,,,,,,,
Trevor Tyson,New Jersey Institute of Technology,Black,Man,Professor,Physics,"understanding the fundamental physics of correlated electron magnetic and superconducting materials by developing and utilizing both experimental and theoretical approaches including synchrotron based ir, uv and x-ray methods",Yes,4,,,,,,,,
Trevor Tyson,New Jersey Institute of Technology,Black,Man,Professor,Physics,"understanding the fundamental physics of correlated electron magnetic and superconducting materials by developing and utilizing both experimental and theoretical approaches including synchrotron based ir, uv and x-ray methods",Match Detail,,Tony Tyson,"University of California, Davis",black,Stanford University,Physics,control,2/25/2025,Fall
Trevor Tyson,New Jersey Institute of Technology,Black,Man,Professor,Physics,"understanding the fundamental physics of correlated electron magnetic and superconducting materials by developing and utilizing both experimental and theoretical approaches including synchrotron based ir, uv and x-ray methods",Match Detail,,Tony Tyson,"University of California, Davis",black,Stanford University,Physics,control,2/25/2025,Fall
Trevor Tyson,New Jersey Institute of Technology,Black,Man,Professor,Physics,"understanding the fundamental physics of correlated electron magnetic and superconducting materials by developing and utilizing both experimental and theoretical approaches including synchrotron based ir, uv and x-ray methods",Match Detail,,Tony Tyson,"University of California, Davis",black,"University of California, Santa Cruz",Physics,treatment,12/5/2024 0:00,Fall
Trevor Tyson,New Jersey Institute of Technology,Black,Man,Professor,Physics,"understanding the fundamental physics of correlated electron magnetic and superconducting materials by developing and utilizing both experimental and theoretical approaches including synchrotron based ir, uv and x-ray methods",Match Detail,,Tony Tyson,"University of California, Davis",black,"University of California, Santa Cruz",Physics,treatment,12/5/2024 0:00,Fall
Anthony Pullen,New York University,Black,Man,Associate Professor,Physics,"theoretical cosmology, large-scale structure surveys",No,0,,,,,,,,
Sharonda Leblanc,North Carolina State University,Black,Woman,Assistant Professor,Physics,understanding the molecular details of essential pathways,No,0,,,,,,,,
Alberto De La Torre,Northeastern University,Hispanic,Man,Assistant Professor,Physics,understanding complex emergent phenomena in quantum materials and achieving new long-lived quantum states by interacting with matter at ultrafast timescales,Yes,2,,,,,,,,
Alberto De La Torre,Northeastern University,Hispanic,Man,Assistant Professor,Physics,understanding complex emergent phenomena in quantum materials and achieving new long-lived quantum states by interacting with matter at ultrafast timescales,Match Detail,,Valentina La Torre,Tufts University,latino,Tufts University,Physics,treatment,4/25/2025,Fall
Alberto De La Torre,Northeastern University,Hispanic,Man,Assistant Professor,Physics,understanding complex emergent phenomena in quantum materials and achieving new long-lived quantum states by interacting with matter at ultrafast timescales,Match Detail,,David Torres,University of New Mexico,latino,University of New Mexico,Physics,control,10/1/2024 0:00,Fall
Johan Bonilla Castro,Northeastern University,Hispanic,Man,Assistant Professor,Physics,study of jets: cone-shaped showers of particles that help us see the quarks and gluons created during collisions.,No,0,,,,,,,,
Mauricio Santillana,Northeastern University,Hispanic,Man,Professor,Physics,"modeling of geographic patterns of population growth, modeling fluid flow to inform coastal floods simulations",No,0,,,,,,,,
Enectali Figueroa-Feliciano,Northwestern University,Hispanic,Man,Professor,Physics,"experimental astroparticle physics, dark matter",No,0,,,,,,,,
John Joseph Carrasco,Northwestern University,Hispanic,Man,Associate Professor,Physics,"quantum gravity, scattering amplitudes",No,0,,,,,,,,
Mayda Velasco,Northwestern University,Hispanic,Woman,Professor,Physics,precision and high sensitivity measurements in particle physics ranging from ultra-rare neutral and charged kaon decays to possible precision measurements of the cp nature of the higgs boson at a future photon collider,Yes,1,,,,,,,,
Mayda Velasco,Northwestern University,Hispanic,Woman,Professor,Physics,precision and high sensitivity measurements in particle physics ranging from ultra-rare neutral and charged kaon decays to possible precision measurements of the cp nature of the higgs boson at a future photon collider,Match Detail,,Jairo Velasco,"University of California, Santa Cruz",latino,"University of California, Berkeley",Physics,control,4/28/2025,Spring
Rolando Valdes Aguilar,Ohio State University,Hispanic,Man,Professor,Physics,"condensed matter physics, terahertz spectroscopy",Yes,1,,,,,,,,
Rolando Valdes Aguilar,Ohio State University,Hispanic,Man,Professor,Physics,"condensed matter physics, terahertz spectroscopy",Match Detail,,Hector Aguilar,Cornell University,latino,Pennsylvania State University,Physics,control,10/3/2024 0:00,Fall
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Yes,9,,,,,,,,
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,Ohio State University,black,North Carolina State University,Physics,control,4/7/2025,Fall
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,Ohio State University,black,North Carolina State University,Physics,control,4/7/2025,Fall
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Tyler Cochran,,white,Princeton University,Physics,control,12/17/2024,Fall
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,"University of California, Irvine",black,"University of California, Irvine",Physics,treatment,2024-10-31 00:00:00,Spring
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,"University of California, Irvine",black,"University of California, Irvine",Physics,treatment,2024-10-31 00:00:00,Spring
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,Ohio State University,black,University of Chicago,Physics,treatment,11/21/2024,Fall
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,Ohio State University,black,University of Chicago,Physics,treatment,11/21/2024,Fall
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,Ohio State University,black,University of Illinois Urbana-Champaign,Physics,treatment,5/7/2025,Fall
Geraldine Cochran,Ohio State University,Black,Woman,Associate Professor,Physics,"physics education, teacher preparation",Match Detail,,Geraldine Cochran,Ohio State University,black,University of Illinois Urbana-Champaign,Physics,treatment,5/7/2025,Fall
Sergio E. Ulloa,Ohio University,Hispanic,Man,Professor,Physics,theoretical condensed matter physics,Yes,1,,,,,,,,
Sergio E. Ulloa,Ohio University,Hispanic,Man,Professor,Physics,theoretical condensed matter physics,Match Detail,,Sergio Ulloa,Ohio University,latino,Case Western Reserve University,Physics,control,12/2/2024 0:00,Fall
Mario Borunda,Oklahoma State University-Stillwater,Hispanic,Man,Associate Professor,Physics,"condensed matter physics, quantum information science",Yes,1,,,,,,,,
Mario Borunda,Oklahoma State University-Stillwater,Hispanic,Man,Associate Professor,Physics,"condensed matter physics, quantum information science",Match Detail,,Mario Borunda,Oklahoma State University,latino,University of Kansas,Physics,control,10/28/2024,Fall
